ID; Name; Description; Icon
1; Level 10; Reach level 10.; level_10
2; Level 20; Reach level 20.; level_20
3; Level 30; Reach level 30.; level_30
4; Level 40; Reach level 40.; level_40
5; Level 50; Reach level 50.; level_50
6; Level 60; Reach level 60.; level_60
8; Safe Deposit; Buy 7 additional bank slots.; -inv_box_01
9; Killer; Kill 100 monsters.; -inv_misc_monsterclaw_02
10; Destroyer; Kill 1000 monsters.; -inv_misc_monsterclaw_02
11; Crusher; Kill 5000 monsters.; -inv_misc_monsterclaw_02
12; Headhunter; Kill 10000 monsters.; -inv_misc_monsterclaw_02
13; Thunderstorm of the monsters; Kill 25000 monsters.; -inv_misc_monsterclaw_02
14; Thunderstorm of all living things; Kill 50000 monsters.; -inv_misc_monsterclaw_02
15; Omnipresent Death; Kill 100000 monsters.; -inv_misc_monsterclaw_02
16; Did Somebody Order a Knuckle Sandwich?; Raise your unarmed skill to 350.; -ability_warrior_secondwind
17; Not so ordinary anymore; Equip yourself with items of uncommon or higher quality.; -Inv_Enchant_EssenceNetherSmall
18; Superior; Equip a superior item in every slot; -Spell_Frost_WizardMark
19; Epic; Equip an epic item in every slot; -Inv_Enchant_ShardNexusLarge
24; Battlegear of Might; Collect all items of the mentioned set.; -inv_helmet_09
25; Battlegear of Wrath; Collect all items of the mentioned set.; -inv_helmet_71
26; Dreadnaught's Battlegear; Collect all items of the mentioned set.; -inv_helmet_58
27; 50 Quests Completed; Complete 50 quests.; achievement_quests_completed_01
28; 100 Quests Completed; Complete 100 quests.; achievement_quests_completed_02
29; 250 Quests Completed; Complete 250 quests.; achievement_quests_completed_03
30; 500 Quests Completed; Complete 500 quests.; achievement_quests_completed_04
31; 750 Quests Completed; Complete 750 quests.; achievement_quests_completed_05
32; 1000 Quests Completed; Complete 1000 quests.; achievement_quests_completed_06
33; 1500 Quests Completed; Complete 1500 quests.; achievement_quests_completed_07
34; 2000 Quests Completed; Complete 2000 quests.; achievement_quests_completed_08
35; Glittering Reward; Make 5 gold from quest rewards.; -Inv_Misc_Coin_05
36; Collector of minted Coins; Make 10 gold from quest rewards.; -Inv_Misc_Coin_06
37; Breadwinner; Make 25 gold from quest rewards.; -Inv_Misc_Coin_03
38; Well-deserved Gold; Make 50 gold from quest rewards.; -Inv_Misc_Coin_04
39; Earned with Sweat and Blood; Make 100 gold from quest rewards.; -Inv_Misc_Coin_01
40; Golden Printer; Make 250 gold from quest rewards.; -Inv_Misc_Coin_02
41; I'm Mint Myself; Make 500 gold from quest rewards.; -Inv_Misc_Coin_02
42; The Key to Scholomance; Obtain the Skeleton Key.; -inv_misc_key_11
43; Loremaster of Kalimdor; Complete the Kalimdor quest achievements in  listed below.; kalimdor
44; Loremaster of Durotar; Complete the quest "Securing the Lines" in Durotar.; durotar
45; Loremaster of The Barrens; Complete the following quests in The Barrens.; barrens
46; Loremaster of Stonetalon Mountains; Complete the quest "Gerenzo Wrenchwhistle" in Stonetalon Mountains.; stonetalon
47; Loremaster of Desolace; Complete the quest "Book of the Ancients" in Desolace.; desolace
48; Loremaster of Thousand Needles; Complete the quest "Safety First" in Thousand Needles.; thousand_needles
49; Loremaster of Dustwallow marsh; Complete the quest "Jarl Needes a Blade" in Dustwallow marsh.; dustwallow
50; Loremaster of Felwood; Complete the following quests in Felwood.; felwood
51; Loremaster of Tanaris; Complete the following quests in Tanaris.; tanaris
52; Loremaster of Un'Goro Crater; Complete the following quests in Un'Goro Crater.; ungoro
53; Loremaster of Azshara; Complete the quest "Azsharite" in Azshara.; azshara
54; Loremaster of Winterspring; Complete the following quests in Winterspring.; winterspring
55; Loremaster of Silithus; Complete the following quests in Silithus.; silithus
56; Loremaster of Eastern Kingdoms; Complete the Eastern Kingdoms quest achievements in listed below.; eastern_kingdoms
57; Loremaster of Arathi Highlands; Complete the quest "Breaking the Keystone" in Arathi Highlands.; arathi
58; Loremaster of Stranglethorn Vale; Complete the following quests in Stranglethorn Vale.; stranglethorn_valley
59; Loremaster of Badlands; Complete the following quests in Badlands.; badlands
60; Loremaster of Searing Gorge; Complete the quest "Trinkets..." in Searing Gorge.; searing_gorge
61; Loremaster of Blasted Lands; Complete the quest "You Are Rakh'likh, Demon" in Blasted Lands.; blasted_lands
62; Loremaster of Western Plaguelands; Complete the following quests in Western Plaguelands.; western_plaguelands
63; Loremaster of Eastern Plaguelands; Complete the following quests in Eastern Plaguelands.; eastern_plaguelands
64; Loremaster of Blackrock Mountain; Complete the quest "Return to Bodley" in Blackrock Mountain.; black_rock
65; Loremaster of Azeroth; Complete the quest achievements listed below.; -Inv_Misc_Book_09
66; The Green Hills of Stranglethorn; Complete all of Hemet Nesingwary quests in Stranglethorn Vale up to and including The Green Hills of Stranglethorn and Big Game Hunter.; -ability_mount_whitetiger
91; World Explorer; Explore Eastern Kingdoms, Kalimdor and Outland.; inv_misc_map02
92; Explore Kalimdor; Explore the regions of Kalimdor.; kalimdor
93; Explore Ashenvale; Explore Ashenvale, revealing the covered areas of the world map.; ashenvale
94; Explore Azshara; Explore Azshara, revealing the covered areas of the world map.; azshara
95; Explore Darkshore; Explore Darkshore, revealing the covered areas of the world map.; darkshore
96; Explore Desolace; Explore Desolace, revealing the covered areas of the world map.; desolace
97; Explore Durotar; Explore Durotar, revealing the covered areas of the world map.; durotar
98; Explore Dustwallow Marsh; Explore Dustwallow Marsh, revealing the covered areas of the world map.; dustwallow
99; Explore Felwood; Explore Felwood, revealing the covered areas of the world map.; felwood
100; Explore Feralas; Explore Feralas, revealing the covered areas of the world map.; feralas
101; Explore Mulgore; Explore Mulgore, revealing the covered areas of the world map.; mulgore
102; Explore Silithus; Explore Silithus, revealing the covered areas of the world map.; silithus
103; Explore Stonetalon Mountains; Explore Stonetalon Mountains, revealing the covered areas of the world map.; stonetalon
104; Explore Tanaris; Explore Tanaris, revealing the covered areas of the world map.; tanaris
105; Explore Teldrassil; Explore Teldrassil, revealing the covered areas of the world map.; teldrassil
106; Explore The Barrens; Explore The Barrens, revealing the covered areas of the world map.; barrens
107; Explore Thousand Needles; Explore Thousand Needles, revealing the covered areas of the world map.; thousand_needles
108; Explore Un'Goro Crater; Explore Un'Goro Crater, revealing the covered areas of the world map.; ungoro
109; Explore Winterspring; Explore Winterspring, revealing the covered areas of the world map.; winterspring
112; Explore Eastern Kingdoms; Explore the regions of Eastern Kingdoms.; eastern_kingdoms
113; Explore Alterac Mountains; Explore Alterac Mountains, revealing the covered areas of the world map.; alterac_mountains
114; Explore Arathi Highlands; Explore Arathi Highlands, revealing the covered areas of the world map.; arathi
115; Explore Badlands; Explore Badlands, revealing the covered areas of the world map.; badlands
116; Explore Blasted Lands; Explore Blasted Lands, revealing the covered areas of the world map.; blasted_lands
117; Explore Burning Steppes; Explore Burning Steppes, revealing the covered areas of the world map.; burning_steppes
118; Explore Deadwind Pass; Explore Deadwind Pass, revealing the covered areas of the world map.; deadwind_pass
119; Explore Dun Morogh; Explore Dun Morogh, revealing the covered areas of the world map.; dun_morogh
120; Explore Duskwood; Explore Duskwood, revealing the covered areas of the world map.; duskwood
121; Explore Eastern Plaguelands; Explore Eastern Plaguelands, revealing the covered areas of the world map.; eastern_plaguelands
122; Explore Elwynn Forest; Explore Elwynn Forest, revealing the covered areas of the world map.; elwynn_forest
123; Explore Hillsbrad Foothills; Explore Hillsbrad Foothills, revealing the covered areas of the world map.; hillsbrad
124; Explore Loch Modan; Explore Loch Modan, revealing the covered areas of the world map.; loch_modan
125; Explore Redridge Mountains; Explore Redridge Mountains, revealing the covered areas of the world map.; redridge_mountains
126; Explore Searing Gorge; Explore Searing Gorge, revealing the covered areas of the world map.; searing_gorge
127; Explore Silverpine Forest; Explore Silverpine Forest, revealing the covered areas of the world map.; silverpine_forest
128; Explore Stranglethorn Vale; Explore Stranglethorn Vale, revealing the covered areas of the world map.; stranglethorn_valley
129; Explore Swamp of Sorrows; Explore Swamp of Sorrows, revealing the covered areas of the world map.; swamp_of_sorrows
130; Explore The Hinterlands; Explore The Hinterlands, revealing the covered areas of the world map.; hinterlands
131; Explore Tirisfal Glades; Explore Tirisfal Glades, revealing the covered areas of the world map.; tirisfal_glades
132; Explore Western Plaguelands; Explore Western Plaguelands, revealing the covered areas of the world map.; western_plaguelands
133; Explore Westfall; Explore Westfall, revealing the covered areas of the world map.; westfall
134; Explore Wetlands; Explore Wetlands, revealing the covered areas of the world map.; wetlands
138; To All The Squirrels I've Loved Before; Show the critters of Azeroth how much you /love them.; inv_jewelcrafting_crimsonhare
149; Private; Earned the title, "Private".; pvp_rank_1
150; Corporal; Earned the title, "Corporal".; pvp_rank_2
151; Sergeant; Earned the title, "Sergeant".; pvp_rank_3
152; Master Sergeant; Earned the title, "Master Sergeant".; pvp_rank_4
153; Sergeant Major; Earned the title, "Sergeant Major".; pvp_rank_5
154; Knight; Earned the title, "Knight".; pvp_rank_6
155; Knight-Lieutenant; Earned the title, "Knight-Lieutenant".; pvp_rank_7
156; Knight-Captain; Earned the title, "Knight-Captain".; pvp_rank_8
157; Knight-Champion; Earned the title, "Knight-Champion".; pvp_rank_9
158; Lieutenant Commander; Earned the title, "Lieutenant Commander".; pvp_rank_10
159; Commander; Earned the title, "Commander".; pvp_rank_11
160; Marshal; Earned the title, "Marshal".; pvp_rank_12
161; Field Marshal; Earned the title, "Field Marshal".; pvp_rank_13
162; Grand Marshal; Earned the title, "Grand Marshal".; pvp_rank_14
163; An Honorable Kill; Achieve an honorable kill.; achievement_pvp_p_01
164; 10 Honorable Kills; Get 10 honorable kills.; achievement_pvp_p_02
165; 100 Honorable Kills; Get 100 honorable kills.; achievement_pvp_p_03
166; 250 Honorable Kills; Get 250 honorable kills.; achievement_pvp_p_04
167; 500 Honorable Kills; Get 500 honorable kills.; achievement_pvp_p_05
168; 1000 Honorable Kills; Get 1000 honorable kills.; achievement_pvp_p_06
169; 2500 Honorable Kills; Get 2500 honorable kills.; achievement_pvp_p_07
170; 5000 Honorable Kills; Get 5000 honorable kills.; achievement_pvp_p_08
171; 10000 Honorable Kills; Get 10000 honorable kills.; achievement_pvp_p_09
172; 25000 Honorable Kills; Get 25000 honorable kills.; achievement_pvp_p_10
173; 50000 Honorable Kills; Get 50000 honorable kills.; achievement_pvp_p_11
174; 100000 Honorable Kills; Get 100000 honorable kills.; achievement_pvp_p_12
175; 250000 Honorable Kills; Get 250000 honorable kills.; achievement_pvp_p_13
176; 500000 Honorable Kills; Get 500000 honorable kills.; achievement_pvp_p_14
177; The Defiler; Gain exalted reputation with The Forsaken Defilers.; spell_shadow_psychichorrors
178; Hero of the Frostwolf Clan; Gain exalted reputation with the Frostwolf Clan.; -Inv_Jewelry_FrostwolfTrinket_05
179; Warsong Outrider; Gain exalted reputation with the Warsong Outriders.; -ability_warrior_warcry
180; The Conqueror; Raise your reputation values in Warsong Gulch, Arathi Basin and Alterac Valley to Exalted.; -inv_misc_tabardpvp_04
181; Knight of Arathor; Gain exalted reputation with The League of Arathor.; -ability_warrior_rallyingcry
182; Hero of the Stormpike Guard; Gain exalted reputation with the Stormpike Guard.; -Inv_Jewelry_Stormpiketrinket_05
183; Silverwing Sentinel; Gain exalted reputation with the Silverwing Sentinels.; -Ability_Racial_Shadowmeld
184; The Justicar; Raise your reputation values in Warsong Gulch, Arathi Basin and Alterac Valley to Exalted.; -inv_misc_tabardpvp_03
185; Storming Stormwind; Kill Highlord Bolvar Fordragon.; achievement_leader_king_varian_wrynn
186; Death to the King!; Kill King Magni Bronzebeard.; achievement_leader_king_magni_bronzebeard
187; Immortal No More; Kill High Priestess Tyrande Whisperwind.; achievement_leader_tyrande_whisperwind
189; For the Horde!; Slay the leaders of the Alliance.; -inv_bannerpvp_01
190; Death to the Warchief!; Kill Thrall.; Achievement_Leader_ Thrall
191; Downing the Dark Lady; Kill Lady Sylvanas Windrunner.; Achievement_leader_sylvanas
192; Bleeding Bloodhoof; Kill Cairne Bloodhoof.; Achievement_Leader_Cairne Bloodhoof
194; For The Alliance!; Slay the leaders of the Horde.; -inv_bannerpvp_02
195; Know Thy Enemy; Get an honorable, killing blow on five different races.; -Ability_Gouge
196; Know Thy Enemy; Get an honorable, killing blow on five different races.; -Ability_Gouge
197; That Takes Class; Get an honorable, killing blow on one of each class.; -Ability_Cheapshot
198; Victory in the Alterac Valley; Win the battle for Alterac Valley.; achievement_bg_winav
199; Alterac Valley Veteran; Win 5 battles for Alterac Valley.; achievement_bg_winav
200; Alterac Valley Veteran; Win 10 battles for Alterac Valley.; achievement_bg_winav
201; Alterac Valley Veteran; Win 25 battles for Alterac Valley.; achievement_bg_winav
202; Alterac Valley Veteran; Win 50 battles for Alterac Valley.; achievement_bg_winav
